content,x,y
"Transportvorschriften.","426.019","2230.1519"
"Transportvorschriften.","65.318","2267.065"
"Transportvorschriften.","185.115","2267.065"
"Transportvorschriften.","305.16202","2267.065"
"Transportvorschriften.","425.209","2267.065"
Unverträglichkeiten,"64.629","1204.111"
"Verordnung (EG) Nr. 1272/2008 [CLP]","64.629","2887.889"
Version: 1,"64.629","91.862"
Version: 1,"64.629","933.751"
Version: 1,"64.629","1775.6399"
Version: 1,"64.629","2617.529"
"Verwendungen, von denen abgeraten wird","64.629","251.10199"
"Wortlaut der H- und EUH-Sätze: siehe Abschnitt 16.","62.927998","564.51"
de / DE,"515.859","796.83"
de / DE,"515.859","1638.719"
de / DE,"515.859","2480.608"
de / DE,"515.859","3322.497"
fikatoren,"71.497","497.343"
"gemäß Verordnung (EG) Nr. 1907/2006 (REACH)","64.629","67.862"
"gemäß Verordnung (EG) Nr. 1907/2006 (REACH)","64.629","909.751"
"gemäß Verordnung (EG) Nr. 1907/2006 (REACH)","64.629","1751.6399"
"gemäß Verordnung (EG) Nr. 1907/2006 (REACH)","64.629","2593.529"
im Sinne dieser,"66.128","2219.352"
im Sinne dieser,"185.925","2219.352"
im Sinne dieser,"305.97202","2219.352"
im Sinne dieser,"426.019","2219.352"
nicht relevant,"71.797","2297.8198"
nicht relevant,"71.797","2329.764"
nicht relevant,"71.797","2361.708"
nicht relevant,"71.797","2393.6519"
nicht relevant,"70.298","2436.968"
transport (ADN),"185.925","2176.608"
tration,"472.968","497.343"
und des Unternehmens,"64.629","173.18597"
und gemäß IBC-Code,"64.629","2425.712"
