content,x,y
Dynamisch:,"110.64","4682.6396"
E,"304.8","7790.16"
EC 50 (24 h),"102.0","6164.4"
EC 50 (24 h),"102.0","6193.1997"
EC/LC 50 (48 h) < 1 mg/l (Acute fish toxcity),"102.0","6090.48"
EC0 (48h),"102.0","6236.4"
EC0 (72h),"102.0","6222.0"
EINECS: 254-052-6,"102.0","1379.76"
EINECS: 268-358-2,"102.0","1417.2"
ENV IR O N M E NT A L LY H A Z A R DO US,"304.8","7041.12"
ENV IR O N M E NT A L LY H A Z A R DO US,"304.8","7087.2"
"Einatmen von Staub/Rauch/Gas/Nebel/Dampf/Aerosol vermeiden.","186.71999","741.6"
"Eine Stoffsicherheitsbeurteilung wurde nicht durchgeführt.","102.0","8186.64"
"Enthält epoxidhaltige Verbindungen. Kann allergische Reaktionen hervorrufen.","102.0","1085.52"
Entsorgung des Inhalts / des Behälters gemäß den örtlichen / regionalen,"186.71999","1050.96"
Ep i c h l o r h y d r i n h a r z e,"255.84","1235.76"
Epoxidharz-Komponente eines 2-Komponenten-Spezialkunstharzsystems für industrielle,"102.0","211.20001"
"Erlbacher Str. 100","102.0","294.0"
"Eye Irrit. 2","102.0","444.24"
"Eye Irrit. 2: Schwere Augenschädigung/Augenreizung – Kategorie 2","102.0","8646.96"
"F-A,S-F","304.8","7331.28"
"FLÜSSIG, N.A.G. (Epoxidharze)","304.8","7029.6"
Farbe:,"110.64","4065.3599"
"Fax. -75","102.0","8616.72"
Festkörpergehalt:,"110.64","4751.76"
Filter A2/P2,"102.0","3612.72"
Form:,"110.64","4053.8398"
"Freisetzung in die Umwelt vermeiden.","186.71999","753.12"
"Für ausreichende Lüftung sorgen.","102.0","2412.0"
"Für einen Einsatz in Do-it-yourself-Anwendungen nicht geeignet.","102.0","245.76001"
"Für gute Belüftung/Absaugung am Arbeitsplatz sorgen.","102.0","2740.56"
GHS07,"105.36","578.16"
GHS09,"147.59999","578.16"
Gegenstände,"304.8","7152.7197"
Gegenstände,"304.8","7308.2397"
Gemischs und des Unternehmens,"102.0","123.119995"
"Getrennt von Lebensmitteln lagern.","102.0","2846.4001"
"Giftnotruf München 0049-89-19240, Notfallrufnummer 0049-171-7998145","102.0","340.08"
"H304 Kann bei Verschlucken und Eindringen in die Atemwege tödlich sein.","102.0","8285.04"
H315,"255.84","1281.84"
H315,"255.84","1342.32"
"H315 Verursacht Hautreizungen.","186.71999","429.84"
"H315 Verursacht Hautreizungen.","102.0","684.0"
"H315 Verursacht Hautreizungen.","102.0","8296.561"
H317,"255.84","1293.36"
H317,"255.84","1353.8401"
H317,"255.84","1440.24"
"H317 Kann allergische Hautreaktionen verursachen.","186.71999","458.63998"
"H317 Kann allergische Hautreaktionen verursachen.","102.0","707.04"
"H317 Kann allergische Hautreaktionen verursachen.","102.0","8308.08"
"H319 Verursacht schwere Augenreizung.","186.71999","444.24"
"H319 Verursacht schwere Augenreizung.","102.0","695.52"
"H319 Verursacht schwere Augenreizung.","102.0","8319.6"
"H410 Sehr giftig für Wasserorganismen mit langfristiger Wirkung.","102.0","8556.96"
"H411 Giftig für Wasserorganismen, mit langfristiger Wirkung.","102.0","718.56"
"H411 Giftig für Wasserorganismen, mit langfristiger Wirkung.","102.0","8568.4795"
HP 13,"99.12","6628.5596"
HP 14,"99.12","6642.96"
HP 4,"102.0","6614.1597"
Handelsname: P 20 rotbraun Harz,"82.8","944.16"
Handelsname: P 20 rotbraun Harz,"82.8","1785.84"
Handelsname: P 20 rotbraun Harz,"82.8","2627.52"
Handelsname: P 20 rotbraun Harz,"82.8","3469.2"
Handelsname: P 20 rotbraun Harz,"82.8","4310.88"
Handelsname: P 20 rotbraun Harz,"82.8","5152.56"
Handelsname: P 20 rotbraun Harz,"82.8","5994.2397"
Handelsname: P 20 rotbraun Harz,"82.8","6835.92"
Handelsname: P 20 rotbraun Harz,"82.8","7677.6"
Handelsname: P 20 rotbraun Harz,"82.8","8519.279"
Handschuhmaterialen nicht vorausberechenbar und muß deshalb vor dem Einsatz überprüft,"102.0","3877.68"
Höchste Nettomenge je Außenverpackung:,"304.8","7755.6"
Höchste Nettomenge je Innenverpackung: 30,"304.8","7732.56"
III,"304.8","7193.04"
"In Gewässern auch giftig für Fische und Plankton.","102.0","6406.32"
"Informationen zur Entsorgung siehe Abschnitt 13.","102.0","2676.72"
"Informationen zur persönlichen Schutzausrüstung siehe Abschnitt 8.","102.0","2665.2"
"Informationen zur sicheren Handhabung siehe Abschnitt 7.","102.0","2435.04"
Inhalativ DNEL/DMEL Werte 30 mg/m³ (Arbeiter (Langzeitwert):),"102.0","3101.76"
Inhalativ LC50/4 h Aerosole,"102.0","5457.6"
Ja,"304.8","7233.36"
"Kann allergische Hautreaktionen verursachen.","102.0","5569.92"
"Keine Zersetzung bei bestimmungsgemäßer Verwendung.","102.0","4867.44"
"Keine besonderen Maßnahmen erforderlich.","102.0","2775.12"
"Keine besonders besorgniserregende Stoffe enthalten bzw. unterhalb der Mengengrenze.","102.0","8160.72"
"Keine weiteren Angaben, siehe Abschnitt 7.","102.0","2981.52"
Keine weiteren relevanten Informationen,"304.31998","4763.28"
"Keine weiteren relevanten Informationen verfügbar.","102.0","188.15997"
"Keine weiteren relevanten Informationen verfügbar.","102.0","1950.24"
"Keine weiteren relevanten Informationen verfügbar.","102.0","1973.28"
Kinematisch:,"110.64","4694.16"
Kohlenmonoxid (CO),"102.0","2094.72"
Kohlenstoffoxide,"102.0","2152.32"
"Kontaminierte Verpackungen sind optimal zu entleeren, sie können dann nach","102.0","6898.8"
"Kontaminiertes Löschwasser getrennt sammeln, darf nicht in die Kanalisation gelangen.","102.0","2232.96"
LC0 (96 h),"102.0","6265.1997"
LC50 (96 h),"102.0","6135.5996"
LD50,"144.71999","5282.88"
LD50,"144.71999","5328.0"
LD50,"144.71999","5342.4"
LD50,"144.71999","5371.2"
LD50,"144.71999","5385.6"
LD50,"144.71999","5414.4"
LD50,"144.71999","5443.2"
LD50,"144.71999","5486.4"
LL50 (48h),"102.0","6250.8"
"Labormessungen von KCL nach EN 374 und sind nur für diesen KCL-Artikel massgebend.","102.0","3704.88"
Maximum net quantity per inner packaging:,"304.8","7838.4"
Maximum net quantity per outer packaging:,"304.8","7861.44"
"Mit flüssigkeitsbindendem Material (Sand, Kieselgur, Säurebinder, Universalbinder,","102.0","2388.96"
"Mund ausspülen und reichlich Wasser nachtrinken.","102.0","1915.6799"
NLP: 500-006-8,"102.0","1319.28"
NLP: 500-033-5,"102.0","1235.76"
NOAEL Langzeittoxizität 170 mg/kg (rat),"144.71999","5428.8003"
NOEC (21 d),"102.0","3162.24"
"Nicht anwendbar.","304.31998","4429.1997"
"Nicht anwendbar.","304.8","7383.12"
"Nicht bestimmt.","304.31998","4088.4"
"Nicht bestimmt.","304.31998","4383.12"
"Nicht bestimmt.","304.31998","4463.76"
"Nicht bestimmt.","304.31998","4527.12"
"Nicht bestimmt.","304.31998","4538.6396"
"Nicht bestimmt.","304.31998","4555.92"
"Nicht bestimmt.","304.31998","4584.7197"
"Nicht bestimmt.","304.31998","4596.2397"
"Nicht bestimmt.","304.31998","4607.76"
"Nicht bestimmt.","304.31998","4682.6396"
"Nicht bestimmt.","304.31998","4694.16"
"Nicht bzw. wenig mischbar.","304.31998","4636.56"
"Nicht in das Grundwasser, in Gewässer oder in die Kanalisation gelangen lassen, auch nicht","102.0","6371.76"
"Nicht in die Kanalisation oder in Gewässer gelangen lassen.","102.0","2354.4"
"Nicht reinigungsfähige Verpackungen sind wie der Stoff zu entsorgen.","102.0","6921.84"
"Ob Erbrechen hervorgerufen werden soll, entscheidet der Arzt.","102.0","1927.2"
Obere:,"110.64","4538.6396"
Oral,"102.0","5282.88"
Oral,"102.0","5328.0"
Oral,"102.0","5371.2"
Oral,"102.0","5414.4"
Oral,"102.0","5486.4"
Organische Lösemittel:,"110.64","4722.96"
P261,"102.0","741.6"
P273,"102.0","753.12"
P280,"102.0","981.83997"
P305+P351+P338 BEI KONTAKT MIT DEN AUGEN: Einige Minuten lang behutsam mit,"102.0","993.36"
P333+P313,"102.0","1027.9199"
P501,"102.0","1050.96"
PNEC,"102.0","3176.6401"
PNEC (wässrig) 94 mg/l (Meerwasser),"102.0","3205.44"
PNEC STP,"102.0","3191.04"
POLLUTANT,"304.8","7075.6797"
Pastös,"304.31998","4053.8398"
Persönliche Schutzausrüstungen,"102.0","2953.2"
"Persönliche Schutzkleidung tragen.","102.0","2331.3599"
Phenole,"102.0","2163.84"
"Polymerisation unter Wärmeentwicklung.","102.0","4890.48"
Reak t i o n sp ro d u k t,"155.76","5302.08"
Reak t i o n sp ro d u k t,"155.76","6109.6797"
Reak t i ons pr oduk t B is pheno l -A -,"255.84","1224.24"
Reaktionsprodukt: Bisphenol-A-Epichlorhydrinharze mit durchschnittlichem Molekulargewicht,"102.0","626.4"
"Rechtsverhältnis.","102.0","8259.84"
Rechtsvorschriften für den Stoff oder das Gemisch,"102.0","7982.88"
"Reg.nr.: 01-2119565150-48-0000 H410","102.0","1391.28"
"Reg.nr.: 01-2119962192-39-0000 H315","102.0","1428.72"
"Reg.nr.: 2119456619-26","102.0","1247.28"
"Reichlich Frischluftzufuhr und sicherheitshalber Arzt aufsuchen.","102.0","1553.04"
Rotbraun,"304.31998","4065.3599"
"STOFF, FLÜSSIG, N.A.G. (EPOXIDHARZE),","304.8","7901.7603"
"SUBSTANCE, LIQUID, N.O.S. (epoxy resin)","304.8","7098.7197"
"SUBSTANCE, LIQUID, N.O.S. (epoxy resin,","304.8","7052.64"
"Schaum bekämpfen.","102.0","2060.16"
Schmelzpunkt/Gefrierpunkt:,"110.64","4383.12"
Schutzhandschuhe,"102.0","3635.76"
"Schutzhandschuhe / Augenschutz / Gesichtsschutz tragen.","186.71999","981.83997"
