content,x,y
"Bei Brand: Gase/Dämpfe, giftig","70.298","2140.247"
"Bei Gebrauch nicht essen, trinken oder rauchen.","157.647","1104.183"
Bei Hautkontakt:,"64.629","1486.834"
"Bei Hautreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.","157.647","1157.583"
"Bei Hautreizungen Arzt aufsuchen.","70.298","1508.434"
"Bei Unfall oder Unwohlsein sofort Arzt hinzuziehen (wenn möglich, Betriebsanweisung oder","70.298","1407.634"
"Bei der Arbeit geeignete Schutzhandschuhe und Schutzbrille/Gesichtsschutz tragen.","70.298","3868.594"
"Bei der Arbeit nicht essen, trinken, rauchen. Kontakt mit Augen und Haut ist zu vermeiden.","70.298","2961.392"
Bemerkung,"403.043","4464.0957"
Bemerkung:,"424.219","7143.8926"
Bemerkung:,"184.125","7167.293"
Bemerkung: Bemer-,"304.172","7156.4927"
Bemerkung: Klassifizie,"64.327995","7214.093"
Bemerkung: Tunnel-,"64.327995","7235.693"
"Berührung während Schwangerschaft und Stillzeit vermeiden.","157.647","1092.4829"
"Besondere Rutschgefahr durch auslaufendes/verschüttetes Produkt. Personen in Sicherheit bringen.","70.298","2296.427"
Biochemischer Sauerstoffbedarf (BSB): nicht bestimmt,"70.298","6208.7236"
Brandschutzmaßnahmen:,"64.629","2901.392"
Butylkautschuk,"70.298","3879.3938"
C14-17,"126.589005","5263.777"
C14-17,"126.589005","5697.207"
C14-17,"64.058","6647.2085"
"CAS-Nr.","69.897","5241.977"
"CAS-Nr.","69.897","5675.407"
"CAS-Nr.","69.897","6144.257"
"CAS-Nr.: 7704-34-9","69.897","1310.183"
"CAS-Nr.: 85535-85-9","69.897","1276.075"
"CAS-Nr.: 85535-85-9","149.647","3670.1829"
Chemietechnik,"70.298","326.602"
Chemischer Sauerstoffbedarf (CSB): nicht bestimmt,"70.298","6197.924"
Chlorwasserstoff (HCl),"70.298","2106.0469"
Dampfdichte,"69.897","4631.696"
Dampfdruck,"69.897","4610.396"
"Das Produkt selbst brennt nicht.","70.298","4801.547"
"Dicht schließende Schutzbrille. Bei der Arbeit geeignete Schutzhandschuhe und Schutzbrille/ Gesichtsschutz tragen. Gestellbrille mit Seitenschutz DIN EN 166","70.298","3823.594"
Die Angaben in diesem Sicherheitsdatenblatt entsprechen nach bestem Wissen unseren Erkenntnissen,"70.298","8173.51"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5298.682"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5322.082"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5345.482"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5392.282"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5439.082"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5509.282"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5532.682"
"Die Einstufungskriterien für diese Gefahrenklasse entsprechen nicht der Definition.","70.298","5556.082"
