content,x,y
CETOL HLS EXTRA,"33.34332","5944.051"
CETOL HLS EXTRA,"33.34332","6786.051"
CETOL HLS EXTRA,"33.34332","7628.051"
CETOL HLS EXTRA,"33.34332","8470.051"
CETOL HLS EXTRA,"33.34332","9312.051"
CETOL HLS EXTRA,"33.34332","10154.051"
CETOL HLS EXTRA,"33.34332","10996.051"
"CLP =Verordnung über die Einstufung, Kennzeichnung und Verpackung","184.1079","10237.7705"
"Carc. 2, H351","322.3987","1611.4523"
"Carc. 2, H351","168.63564","9537.898"
"Carc. 2, H351","36.94152","10626.376"
"Chemiewaffenübereinkommen, Chemikalien der Liste I, II & III","36.461758","9796.7295"
D-50829 Köln,"182.54868","394.3987"
DMEL = Abgeleiteter Minimaler-Effekt-Grenzwert,"184.1079","10260.319"
DNEL = Abgeleiteter Nicht-Effekt-Grenzwert,"184.1079","10271.594"
DNELs/DMELs,"40.05996","4487.577"
Dampfdichte,"38.620678","5630.628"
Dampfdruck,"38.620678","5615.6353"
Daphnie - Daphnia magna,"349.98492","7264.9727"
"Das Essen, Trinken und Rauchen ist in Bereichen, in denen diese Substanz","182.78856","3531.5154"
"Das Gemisch wurde gemäß der Summationsmethode der Verordnung (EG) Nr. 1272/2008 (CLP-Verordnung)","38.9805","7186.4106"
Das Personal sollte antistatische Kleidung aus Naturfaser oder,"194.42273","5182.412"
Das Produkt enthält organisch gebundene Halogene und kann zum AOX-Wert im,"179.67012","9726.924"
Datum der letzten Ausgabe,"34.7826","667.0235"
Datum der letzten Ausgabe,"35.62218","10752.433"
"Dem Feuer ausgesetzte geschlossene Behälter mit Wasser kühlen. Löschwasser","183.38826","2883.0974"
"Der Benutzer muss sicherstellen, dass er den Handschuhtyp zum Umgang mit","196.1019","4931.116"
"Detail erschöpfend sind. Sie beruhen auf dem gegenwärtigen Stand unseres Wissens und auf den gegenwärtig","33.70314","10808.205"
"Die Abfallerzeugung sollte nach Möglichkeit vermieden oder minimiert werden.","182.78856","8130.6006"
"Die Abfallerzeugung sollte nach Möglichkeit vermieden oder minimiert werden. Die","182.78856","7915.0674"
"Die Grenzwerte für die Exposition am Arbeitsplatz sind, wenn verfügbar, in Abschnitt 8 wiedergegeben.","33.70314","2020.4677"
"Die Informationen in diesem Abschnitt enthalten allgemeine Ratschläge und Anleitungen. Bereitgestellte Informationen","33.10344","3873.4644"
"Die Informationen in diesem Abschnitt enthalten allgemeine Ratschläge und Anleitungen. Die identifizierte Verwendung","32.86356","3460.8696"
"Die Informationen in diesem Abschnitt enthalten allgemeine Ratschläge und Anleitungen. Die identifizierte Verwendung","32.86356","7848.5005"
"Die Weiterbehandlungen wie Schleifen, Abbrennen etc. von Farbschichten kann","194.42273","5278.7236"
"Dies berücksichtigt, wenn bekannt, verzögerte und sofortige Auswirkungen sowie chronische Auswirkungen der","38.9805","2370.5737"
"Dies berücksichtigt, wenn bekannt, verzögerte und sofortige Auswirkungen sowie chronische Auswirkungen der","38.9805","6313.4663"
"Dieses Produkt wird nicht unter der Seveso-Richtlinie kontrolliert.","40.89954","9641.406"
Dosis,"414.51263","6390.4688"
Druckdatum,"35.62218","10711.293"
Durch das Produkt verunreinigte Behälter sind in Übereinstimmung mit lokalen und,"182.78856","8224.034"
E-Mail-Adresse der,"36.10194","482.5546"
"EG Verordnung (EG) Nr. 1907/2006 (REACH)","36.461758","9154.43"
EG: 202-496-6,"169.1154","1600.178"
EG: 259-627-5,"169.1154","1773.0315"
EG: 265-150-3,"169.1154","1566.3549"
EG: 926-141-6,"169.1154","1532.5317"
EN 482 (Arbeitsplatzatmosphären - Allgemeine Anforderungen an die,"196.1019","4439.3623"
EUH-Satz = CLP-spezifischer Gefahrenhinweis,"184.1079","10282.868"
EUH066,"322.3987","1521.2573"
EUH066,"322.3987","1555.0806"
EUH066,"36.94152","10637.41"
EXPOSITION) - Kategorie 1,"256.6716","10694.022"
"Ein geeignetes Atemschutzgerät kann erforderlich sein.","183.38826","2921.478"
Einatmen,"38.9805","2148.8035"
Einatmen (Dämpfe),"47.25636","6509.3296"
Einatmen (Gase),"47.25636","6498.295"
"Einatmen von Dampf oder Nebel vermeiden. Schutzvorschriften in Abschnitt 7 und 8","183.38826","2999.679"
Einsatzbedingungen gemäss der Risikoeinschätzung des Benutzers,"196.1019","4953.665"
Einsatzkräfte,"38.9805","3027.5063"
Einstufung,"394.48267","1461.6472"
Einstufung,"164.43774","10359.748"
"Einstufung gemäß der Verordnung (EG) Nr. 1272/2008 [CLP/GHS]","38.9805","739.1075"
Empfehlungen,"39.22038","3788.4258"
"Empfohlen: alkoholbeständiger Schaum, CO₂, Pulver, Sprühwasser.","183.38826","2698.9907"
Empfohlene,"51.454258","4315.3433"
Empfohlene Schutzhandschuhe sind basierend auf dem/den mengenmässig,"196.1019","4773.2754"
"Enthält Butanonoxim, IPBC. Kann allergische Reaktionen hervorrufen.","38.9805","2415.6711"
"Enthält Butanonoxim, IPBC. Kann allergische Reaktionen hervorrufen.","38.9805","6358.5635"
"Enthält IPBC und Butanonoxim. Kann allergische Reaktionen hervorrufen.","184.1079","1169.2323"
Entsorgung,"44.497738","1143.2053"
Entsorgung dieses Produkts sowie seiner Lösungen und Nebenprodukte muss,"182.78856","7926.342"
Entsorgungsmethoden,"43.89804","7915.0674"
Entsorgungsmethoden,"43.89804","8130.6006"
"Entsprechend den örtlichen Vorschriften lagern.","38.620678","3652.4136"
Ergänzende,"39.82008","1169.2323"
Ermittlung chemischer und biologischer Arbeitsstoffe) Europäische Norm DIN,"196.1019","4428.088"
Erzeugnisse,"39.82008","1279.3372"
Erzeugnisse,"40.89954","9447.704"
"Es liegen keine DNELs/DMELs-Werte vor.","51.09444","4502.21"
"Es liegen keine PNECs-Werte vor.","51.09444","4536.3926"
"Es sind keine zusätzlichen Inhaltsstoffe vorhanden, die nach dem aktuellen Wissenstand des Lieferanten in den","33.70314","1898.8497"
"Es sollen keine Maßnahmen ergriffen werden, die mit persönlichem Risiko","182.78856","2248.2349"
Europäisches Inventar,"40.89954","9492.082"
Explosive Eigenschaften,"39.46026","5762.202"
Exposition,"484.7975","6390.4688"
Exposition,"422.30875","6543.752"
Exposition,"497.15128","7214.7163"
Expositionsgrenzwerte,"347.826","3953.944"
"Eye Dam. 1, H318","322.3987","1588.9036"
"Eye Dam. 1, H318","322.3987","1795.5802"
"Eye Dam. 1, H318","36.94152","10648.805"
"Falls dies nicht ausreicht,um die Partikel- und Lösemitteldampfkonzentration","196.1019","4607.0376"
"Falls dieses Produkt Inhaltsstoffe mit Expositionsgrenzen enthält, kann eine","196.1019","4315.3433"
"Falls für den Umgang mit der Verschüttung Spezialkleidung benötigt wird, ist","183.38826","3027.5063"
Farbe,"38.620678","5457.913"
"Fernhalten von: Oxidationsmittel, starke Laugen, starke Säuren.","38.620678","3675.4421"
Feuerwehrleute,"38.9805","2906.6055"
Fisch - Oncorhynchus mykiss -,"349.98492","7276.3667"
Flammpunkt,"38.620678","5560.103"
"Flüssigkeit.","199.93997","5442.9204"
"Fordern Sie eine Kopie dieses Dokuments an und überprüfen es sorgfältig. Die in diesem Datenblatt","33.70314","11080.609"
"Für ausreichende Lüftung sorgen. Wo vernünftigerweise praktikabel kann dies","196.1019","4584.489"
"Für das Gemisch selbst liegen keine Daten vor.","38.9805","7152.5874"
"Für das Gemisch selbst liegen keine Daten vor. Das Produkt ist nicht als gefährlich eingestuft gemäß der Verordnung","38.9805","2302.9275"
"Für das Gemisch selbst liegen keine Daten vor. Das Produkt ist nicht als gefährlich eingestuft gemäß der Verordnung","38.9805","6245.82"
Für dieses Produkt oder seine Inhaltsstoffe liegen keine speziellen Daten bezüglich,"183.38826","5987.349"
"Für weitere Auskünfte wenden Sie sich bitte an Ihre örtliche Abfallbehörde.","182.78856","8101.575"
Geeignete Löschmittel,"38.9805","2698.7507"
"Geeignete Schutzausrüstung anlegen (siehe Abschnitt 8).","182.78856","3554.064"
Geeignete technische,"51.454258","4584.489"
Geeignetes Schuhwerk und zusätzliche Hautschutzmaßnahmen auf Basis der,"194.42273","5207.959"
"Gefahren, die von dem","38.9805","2788.4648"
Gefahrenhinweise,"38.9805","1031.7822"
Gefährliche Abfälle,"43.89804","8008.381"
Gefährliche thermische,"38.9805","2826.7256"
"Gemeinden zu beachten.","182.78856","8056.4766"
Gemisch,"183.38826","724.1149"
Gemisch,"183.62814","1444.136"
"Gemäß Verordnung (EG) Nr. 1907/2006 (REACH), Anhang II - Deutschland","30.5847","25.58319"
Geruch,"38.620678","5472.6655"
Geruchsschwelle,"38.620678","5487.658"
Geschlossenem Tiegel: 62°C,"199.93997","5560.103"
"Gesetzliche Schutz- und Sicherheitsvorschriften befolgen.","182.78856","3599.1616"
"Gesundheitsschädlich bei Hautkontakt.","256.6716","10446.465"
"Gesundheitsschädlich bei Verschlucken.","256.6716","10412.882"
"Giftig bei Einatmen.","256.6716","10480.048"
Giftnotrufzentrale Berlin,"180.50969","549.84216"
H302,"36.94152","10412.882"
H304,"36.94152","10423.916"
H312,"36.94152","10446.465"
H317,"36.94152","10457.499"
H318,"36.94152","10468.894"
H331,"36.94152","10480.048"
H351,"36.94152","10491.082"
H372,"36.94152","10502.477"
H400,"36.94152","10513.871"
H410,"36.94152","10525.266"
HI/Kemler-Zahl,"34.1829","8940.696"
HINWEIS: Für die Auswahl von Schutzhandschuhen für eine bestimmte,"196.1019","4840.9214"
Handschuhe,"58.410778","4773.515"
Handschuhe müssen regelmäßig und bei jedem Anzeichen einer Beschädigung,"196.1019","4987.4883"
Handschutz,"51.09444","4758.523"
Hautkontakt,"38.9805","2185.746"
Hautschutz,"45.577198","4743.77"
Head Office,"33.70314","11171.765"
Herstellung des,"39.82008","1220.5667"
Herstellung des,"40.89954","9388.934"
"High-solid-Beschichtungsmittel für außen.","180.50969","329.03137"
Hinweis auf nationale Anleitungsdokumente für Methoden zur Bestimmung,"196.1019","4461.91"
Hinweis für den Leser,"33.94302","10782.178"
"Hinweise auf dem Etikett beachten. Trocken, kühl und bei guter Durchlüftung lagern. Von Hitze und direkter","38.620678","3698.4707"
Hinweise für den Arzt,"38.9805","2458.9695"
Hinweise zur Entsorgung,"43.89804","8033.9277"
Hinweise zur Entsorgung,"43.89804","8178.9365"
Hinweise zur gemeinsamen Lagerung,"38.620678","3663.4482"
Hygienische Maßnahmen,"56.9715","4658.6113"
IMDG,"432.86346","8575.0"
